name,x,y
BE0 0 urban central geothermal heat,5.557657776371963,50.71097373686819
BE0 1 urban central geothermal heat,4.36305456109509,51.18551967914423
BE0 2 urban central geothermal heat,4.9896859712058905,50.808283305585036
BE0 3 urban central geothermal heat,5.723804065173548,49.99475407820011
BE0 4 urban central geothermal heat,4.331467005452102,50.65803128296503
BE0 0 urban central river_water heat,5.557657776371963,50.71097373686819
BE0 1 urban central river_water heat,4.36305456109509,51.18551967914423
BE0 2 urban central river_water heat,4.9896859712058905,50.808283305585036
BE0 3 urban central river_water heat,5.723804065173548,49.99475407820011
BE0 4 urban central river_water heat,4.331467005452102,50.65803128296503
BE0 0 biogas,5.557657776371963,50.71097373686819
BE0 1 biogas,4.36305456109509,51.18551967914423
BE0 2 biogas,4.9896859712058905,50.808283305585036
BE0 3 biogas,5.723804065173548,49.99475407820011
BE0 4 biogas,4.331467005452102,50.65803128296503
EU solid biomass,-5.5,46.0
EU solid biomass import,-5.5,46.0
EU unsustainable bioliquids,-5.5,46.0
EU methanol,-5.5,46.0
solid biomass for industry,-5.5,46.0
BE0 0 gas for industry,5.557657776371963,50.71097373686819
BE0 1 gas for industry,4.36305456109509,51.18551967914423
BE0 2 gas for industry,4.9896859712058905,50.808283305585036
BE0 3 gas for industry,5.723804065173548,49.99475407820011
BE0 4 gas for industry,4.331467005452102,50.65803128296503
EU industry methanol,-5.5,46.0
EU naphtha for industry,-5.5,46.0
EU non-sequestered HVC,-5.5,46.0
process emissions,-5.5,46.0
EU coal for industry,-5.5,46.0
EU shipping methanol,-5.5,46.0
EU shipping oil,-5.5,46.0
EU kerosene for aviation,-5.5,46.0
EU agriculture machinery oil,-5.5,46.0
BE0 0 low voltage,5.557657776371963,50.71097373686819
BE0 1 low voltage,4.36305456109509,51.18551967914423
BE0 2 low voltage,4.9896859712058905,50.808283305585036
BE0 3 low voltage,5.723804065173548,49.99475407820011
BE0 4 low voltage,4.331467005452102,50.65803128296503
BE0 0 home battery,5.557657776371963,50.71097373686819
BE0 1 home battery,4.36305456109509,51.18551967914423
BE0 2 home battery,4.9896859712058905,50.808283305585036
BE0 3 home battery,5.723804065173548,49.99475407820011
BE0 4 home battery,4.331467005452102,50.65803128296503
BE0 0 rural heat,5.557657776371963,50.71097373686819
BE0 0 rural water tanks,5.557657776371963,50.71097373686819
BE0 0 urban decentral heat,5.557657776371963,50.71097373686819
BE0 0 urban decentral water tanks,5.557657776371963,50.71097373686819
BE0 1 rural heat,4.36305456109509,51.18551967914423
BE0 1 rural water tanks,4.36305456109509,51.18551967914423
BE0 1 urban decentral heat,4.36305456109509,51.18551967914423
BE0 1 urban decentral water tanks,4.36305456109509,51.18551967914423
BE0 2 rural heat,4.9896859712058905,50.808283305585036
BE0 2 rural water tanks,4.9896859712058905,50.808283305585036
BE0 2 urban decentral heat,4.9896859712058905,50.808283305585036
BE0 2 urban decentral water tanks,4.9896859712058905,50.808283305585036
BE0 3 rural heat,5.723804065173548,49.99475407820011
BE0 3 rural water tanks,5.723804065173548,49.99475407820011
BE0 3 urban decentral heat,5.723804065173548,49.99475407820011
BE0 3 urban decentral water tanks,5.723804065173548,49.99475407820011
BE0 4 rural heat,4.331467005452102,50.65803128296503
BE0 4 rural water tanks,4.331467005452102,50.65803128296503
BE0 4 urban decentral heat,4.331467005452102,50.65803128296503
BE0 4 urban decentral water tanks,4.331467005452102,50.65803128296503
